Input Data
----------

Decay Rate A = 0.00016045073624072808 /s
Decay Rate B = 2.1158338844931175e-05 /s
Initial Count A = 100.0
Initial Count B = 0.0
Initial Count C = 0.0
Time Delta = 56.25 s
Final Time = 180000 s


Output Data
-----------

Max N(B)
--------
Analytical : 73.51066601554557 at t = 14544.604692043175 s
Numerical  : 73.61307233309724 at t = 14512.5 s

   Time                          Analytical                                             Numerical                         
    (s)             N (A)     |    N (B)     |    N (C)              N (A)     |    N (B)     |    N (C)     |  N (total)   
    11475.0     15.863137     |72.0862073    |12.0506557         15.7310905    |72.225247     |12.0436626    |100           
   11531.25     15.7206107    |72.1429058    |12.1364835         15.5891118    |72.2812663    |12.1296219    |100           
    11587.5     15.579365     |72.1982571    |12.2223779         15.4484146    |72.3359375    |12.2156479    |100           
   11643.75     15.4393883    |72.2522743    |12.3083374         15.3089872    |72.3892738    |12.301739     |100           
    11700.0     15.3006693    |72.3049703    |12.3943604         15.1708181    |72.4412883    |12.3878936    |100           
   11756.25     15.1631966    |72.356358     |12.4804454         15.0338961    |72.4919938    |12.4741101    |100           
    11812.5     15.0269591    |72.4064502    |12.5665907         14.8982099    |72.5414032    |12.5603869    |100           
   11868.75     14.8919457    |72.4552594    |12.6527949         14.7637483    |72.5895292    |12.6467225    |100           
    11925.0     14.7581453    |72.5027983    |12.7390564         14.6305002    |72.6363844    |12.7331154    |100           
   11981.25     14.6255471    |72.5490791    |12.8253737         14.4984548    |72.6819811    |12.8195641    |100           
    12037.5     14.4941403    |72.5941143    |12.9117454         14.3676011    |72.7263319    |12.906067     |100           
   12093.75     14.3639141    |72.6379159    |12.99817           14.2379284    |72.7694488    |12.9926227    |100           
    12150.0     14.2348579    |72.6804961    |13.0846459         14.1094261    |72.8113442    |13.0792298    |100           
   12206.25     14.1069613    |72.7218668    |13.1711718         13.9820835    |72.8520298    |13.1658867    |100           
    12262.5     13.9802138    |72.7620399    |13.2577463         13.8558903    |72.8915177    |13.252592     |100           
   12318.75     13.8546051    |72.801027     |13.3443678         13.7308359    |72.9298197    |13.3393443    |100           
    12375.0     13.730125     |72.8388399    |13.431035          13.6069103    |72.9669475    |13.4261422    |100           
   12431.25     13.6067633    |72.8754901    |13.5177466         13.4841031    |73.0029126    |13.5129843    |100           
    12487.5     13.48451      |72.910989     |13.6045011         13.3624043    |73.0377265    |13.5998692    |100           
   12543.75     13.3633551    |72.9453478    |13.6912971         13.2418039    |73.0714006    |13.6867955    |100           
    12600.0     13.2432887    |72.9785779    |13.7781334         13.1222919    |73.1039462    |13.7737619    |100           
   12656.25     13.1243011    |73.0106904    |13.8650085         13.0038586    |73.1353743    |13.8607671    |100           
    12712.5     13.0063825    |73.0416962    |13.9519213         12.8864942    |73.1656962    |13.9478096    |100           
   12768.75     12.8895235    |73.0716063    |14.0388702         12.770189     |73.1949228    |14.0348883    |100           
    12825.0     12.7737144    |73.1004315    |14.1258541         12.6549335    |73.2230648    |14.1220017    |100           
   12881.25     12.6589458    |73.1281825    |14.2128717         12.5407183    |73.2501332    |14.2091486    |100           
    12937.5     12.5452083    |73.15487      |14.2999217         12.4275338    |73.2761385    |14.2963277    |100           
   12993.75     12.4324928    |73.1805044    |14.3870028         12.3153709    |73.3010913    |14.3835378    |100           
    13050.0     12.32079      |73.2050962    |14.4741138         12.2042204    |73.3250021    |14.4707776    |100           
   13106.25     12.2100908    |73.2286558    |14.5612534         12.094073     |73.3478812    |14.5580458    |100           
    13162.5     12.1003862    |73.2511933    |14.6484205         11.9849197    |73.3697391    |14.6453413    |100           
   13218.75     11.9916673    |73.2727189    |14.7356138         11.8767515    |73.3905857    |14.7326627    |100           
    13275.0     11.8839252    |73.2932427    |14.8228321         11.7695596    |73.4104313    |14.820009     |100           
   13331.25     11.7771511    |73.3127746    |14.9100743         11.6633352    |73.4292859    |14.9073789    |100           
    13387.5     11.6713364    |73.3313245    |14.9973391         11.5580695    |73.4471593    |14.9947713    |100           
   13443.75     11.5664724    |73.3489022    |15.0846254         11.4537538    |73.4640613    |15.0821849    |100           
    13500.0     11.4625505    |73.3655174    |15.1719321         11.3503796    |73.4800018    |15.1696186    |100           
   13556.25     11.3595624    |73.3811796    |15.2592579         11.2479384    |73.4949902    |15.2570713    |100           
    13612.5     11.2574996    |73.3958985    |15.3466019         11.1464218    |73.5090363    |15.3445419    |100           
   13668.75     11.1563538    |73.4096834    |15.4339628         11.0458214    |73.5221495    |15.4320291    |100           
    13725.0     11.0561168    |73.4225437    |15.5213395         10.946129     |73.534339     |15.519532     |100           
